Semaine,Date,N°. ZONE,NameZONE,N°. Atelier,NameAtelier _x,Obj Abs,Tx. Abs ,Obj. Polyvalence,Tx. Polyvalence,Obj Safety,# d'accident Avec Arrêt ,Réf Produit,DésignationProduit,QtéProduite_x,QtéLivrée_x,NbrDéfaut.Int,Qtérebut.Int,QtéRéclamée ,ObjNQ.Int,ObjDPU,ObjNQ.Ext,ObjPPM.Int,ObjPPM.Client,TxNQ.Int,DPU,TxNQExt,PPMRebut.Int,PPM.Client,QtéProduite_y,QtéLancéePDP,QtéEng.Client ,QtéLivrée_y,ObjOTP,ObjOTD,OTD,OTP ,QtéProduite,QtéLivrée,Tpsd'ouv. Nette (s),TpsSTD.Unitaire (s),TpsPointée.NetProduit (s) ,Hr.Badgées (s),ETP.théo,ETP.Réel,OBJEFF.NET,OBJEFF.BRUT,Efficience Nette,Efficience Brute,NameAtelier _y,N°. Unité ,Unité ,NameUnit,Site,NameSite
S33,11-Aug,ZONE.1,INJ.XC_MQB,ATEL.1,ATELIER INJ. XC,3%,3.8%,80%,76%,0,0,SF1.M32,Siwtch de Commande (INJ),380,0,3,1,0,1.50%,1.80%,,15000,,0.26%,1%,," 2,632    ",,380,387,0,0,99%,96%,,98%,380,0,25740,258,118120,128700,3.8,4.6,85%,78%,83%,76%,ATELIER INJ. XC,Unit.1,Unité XC ,Unité de Fabrication XC,Site 1,QMS Manufacturing
S33,11-Aug,ZONE.1,INJ.XC_MQB,ATEL.1,ATELIER INJ. XC,3%,3.8%,80%,76%,0,0,SF1.PPE21,Push Start/ Stop (INJ),178,0,0,0,0,1.50%,1.80%,,15000,,0.00%,0%,, -      ,,178,195,0,0,99%,96%,,91%,178,0,25740,231,49540,51480,1.6,1.9,85%,78%,83%,80%,ATELIER INJ. XC,Unit.1,Unité XC ,Unité de Fabrication XC,Site 1,QMS Manufacturing
S33,11-Aug,ZONE.1,INJ.XC_MQB,ATEL.1,ATELIER INJ. XC,3%,3.8%,80%,76%,0,0,SF1.90VU,Rack 90VU_A321. Neo (INJ),221,0,3,0,0,1.50%,1.80%,,15000,,0.00%,1%,, -      ,,221,223,0,0,99%,96%,,99%,221,0,25740,280,74607,77220,2.4,2.9,85%,78%,83%,80%,ATELIER INJ. XC,Unit.1,Unité XC ,Unité de Fabrication XC,Site 1,QMS Manufacturing
S33,11-Aug,ZONE.1,INJ.XC_MQB,ATEL.1,ATELIER INJ. XC,3%,3.8%,80%,76%,0,0,SF2.M32,Siwtch de Commande (IR),412,0,1,0,0,1.50%,1.80%,,15000,,0.00%,0%,, -      ,,412,453,0,0,99%,96%,,91%,412,0,25740,307,152192,154440,4.9,5.9,85%,78%,83%,82%,ATELIER INJ. XC,Unit.1,Unité XC ,Unité de Fabrication XC,Site 1,QMS Manufacturing
S33,11-Aug,ZONE.1,INJ.XC_MQB,ATEL.1,ATELIER INJ. XC,3%,3.8%,80%,76%,0,0,SF2.PPE21,Push Start/ Stop (IR),548,0,4,1,0,1.50%,1.80%,,15000,,0.18%,1%,," 1,825    ",,548,602,0,0,99%,96%,,91%,548,0,25740,287,189357,205920,6.1,7.4,85%,78%,83%,76%,ATELIER INJ. XC,Unit.1,Unité XC ,Unité de Fabrication XC,Site 1,QMS Manufacturing
S33,11-Aug,ZONE.1,INJ.XC_MQB,ATEL.1,ATELIER INJ. XC,3%,3.8%,80%,76%,0,0,SF2.90VU,Rack 90VU_A321. Neo (IR),721,0,10,3,0,1.50%,1.80%,,15000,,0.42%,1%,," 4,161    ",,721,728,0,0,99%,96%,,99%,721,0,25740,273,237148,257400,7.6,9.2,85%,78%,83%,76%,ATELIER INJ. XC,Unit.1,Unité XC ,Unité de Fabrication XC,Site 1,QMS Manufacturing
S33,11-Aug,ZONE.1,INJ.XC_MQB,ATEL.1,ATELIER INJ. XC,3%,3.8%,80%,76%,0,0,SF3.M32,Siwtch de Commande (ASS),618,0,11,4,0,1.50%,1.80%,,15000,,0.65%,2%,," 6,472    ",,618,679,0,0,99%,96%,,91%,618,0,25740,227,168870,180180,5.4,6.6,85%,78%,83%,78%,ATELIER INJ. XC,Unit.1,Unité XC ,Unité de Fabrication XC,Site 1,QMS Manufacturing
S33,11-Aug,ZONE.1,INJ.XC_MQB,ATEL.1,ATELIER INJ. XC,3%,3.8%,80%,76%,0,0,SF3.PPE21,Push Start/ Stop (ASS),148,0,1,0,0,1.50%,1.80%,,15000,,0.00%,1%,, -      ,,148,162,0,0,99%,96%,,91%,148,0,25740,227,40441,51480,1.3,1.6,85%,78%,83%,65%,ATELIER INJ. XC,Unit.1,Unité XC ,Unité de Fabrication XC,Site 1,QMS Manufacturing
S33,11-Aug,ZONE.1,INJ.XC_MQB,ATEL.1,ATELIER INJ. XC,3%,3.8%,80%,76%,0,0,SF3.90VU,Rack 90VU_A321. Neo (ASS),0,0,0,0,0,1.50%,1.80%,,15000,,0.00%,0%,, -      ,,0,0,0,0,99%,96%,,,0,0,25740,407,0,0,0.0,0.0,85%,78%,-,-,ATELIER INJ. XC,Unit.1,Unité XC ,Unité de Fabrication XC,Site 1,QMS Manufacturing
S33,11-Aug,ZONE.1,INJ.XC_MQB,ATEL.1,ATELIER INJ. XC,3%,3.8%,80%,76%,0,0,M32,Siwtch de Commande,0,0,0,0,0,1.50%,1.80%,0.40%,15000,4000.0,0.00%,0%,0.00%, -      , -      ,0,0,0,0,99%,94%,,,0,0,25740,293,0,0,0.0,0.0,85%,78%,-,-,ATELIER INJ. XC,Unit.1,Unité XC ,Unité de Fabrication XC,Site 1,QMS Manufacturing
S33,11-Aug,ZONE.1,INJ.XC_MQB,ATEL.1,ATELIER INJ. XC,3%,3.8%,80%,76%,0,0,PPE21,Push Start/ Stop ,364,264,15,2,4,1.50%,1.80%,0.40%,15000,4000.0,0.55%,4%,1.52%," 5,495    "," 15,152    ",364,371,300,264,99%,94%,88.0%,98%,364,264,25740,215,94201,102960,3.0,3.7,85%,78%,83%,76%,ATELIER INJ. XC,Unit.1,Unité XC ,Unité de Fabrication XC,Site 1,QMS Manufacturing
S33,11-Aug,ZONE.1,INJ.XC_MQB,ATEL.1,ATELIER INJ. XC,3%,3.8%,80%,76%,0,0,90VU,Rack 90VU_A321. Neo ,0,250,0,0,0,1.50%,1.80%,0.40%,15000,4000.0,0.00%,0%,0.00%, -      , -      ,0,0,250,250,99%,94%,100.0%,,0,250,25740,767,0,0,0.0,0.0,85%,78%,-,-,ATELIER INJ. XC,Unit.1,Unité XC ,Unité de Fabrication XC,Site 1,QMS Manufacturing
S33,11-Aug,ZONE.2,INJ.XC_PSA,ATEL.1,ATELIER INJ. XC,3%,1.6%,80%,80%,0,0,SF1.M32,Siwtch de Commande (INJ),380,0,3,1,0,1.50%,1.80%,,15000,,0.26%,1%,," 2,632    ",,380,387,0,0,99%,96%,,98%,380,0,25740,258,118120,128700,3.8,4.6,85%,78%,83%,76%,ATELIER INJ. XC,Unit.1,Unité XC ,Unité de Fabrication XC,Site 1,QMS Manufacturing
S33,11-Aug,ZONE.2,INJ.XC_PSA,ATEL.1,ATELIER INJ. XC,3%,1.6%,80%,80%,0,0,SF1.PPE21,Push Start/ Stop (INJ),178,0,0,0,0,1.50%,1.80%,,15000,,0.00%,0%,, -      ,,178,195,0,0,99%,96%,,91%,178,0,25740,231,49540,51480,1.6,1.9,85%,78%,83%,80%,ATELIER INJ. XC,Unit.1,Unité XC ,Unité de Fabrication XC,Site 1,QMS Manufacturing
S33,11-Aug,ZONE.2,INJ.XC_PSA,ATEL.1,ATELIER INJ. XC,3%,1.6%,80%,80%,0,0,SF1.90VU,Rack 90VU_A321. Neo (INJ),221,0,3,0,0,1.50%,1.80%,,15000,,0.00%,1%,, -      ,,221,223,0,0,99%,96%,,99%,221,0,25740,280,74607,77220,2.4,2.9,85%,78%,83%,80%,ATELIER INJ. XC,Unit.1,Unité XC ,Unité de Fabrication XC,Site 1,QMS Manufacturing
S33,11-Aug,ZONE.2,INJ.XC_PSA,ATEL.1,ATELIER INJ. XC,3%,1.6%,80%,80%,0,0,SF2.M32,Siwtch de Commande (IR),412,0,1,0,0,1.50%,1.80%,,15000,,0.00%,0%,, -      ,,412,453,0,0,99%,96%,,91%,412,0,25740,307,152192,154440,4.9,5.9,85%,78%,83%,82%,ATELIER INJ. XC,Unit.1,Unité XC ,Unité de Fabrication XC,Site 1,QMS Manufacturing
S33,11-Aug,ZONE.2,INJ.XC_PSA,ATEL.1,ATELIER INJ. XC,3%,1.6%,80%,80%,0,0,SF2.PPE21,Push Start/ Stop (IR),548,0,4,1,0,1.50%,1.80%,,15000,,0.18%,1%,," 1,825    ",,548,602,0,0,99%,96%,,91%,548,0,25740,287,189357,205920,6.1,7.4,85%,78%,83%,76%,ATELIER INJ. XC,Unit.1,Unité XC ,Unité de Fabrication XC,Site 1,QMS Manufacturing
